Sample_ID,ESR1,RSPH1,GRIA2,IGF1,TPPP3,CAPSL,SPATA18,ARMC3,ERMN,GPM6B
Sample_001,15.75013,8.154223,12.191248,15.500449,17.6421,8.154223,15.186772,8.154223,8.154223,8.154223
Sample_002,15.81903,8.028978,8.028978,14.60537,17.03956,8.028978,15.400701,8.028978,8.028978,13.695868
Sample_003,14.46561,8.126021,8.126021,15.095466,16.18681,8.126021,15.470433,8.126021,8.126021,13.415669
Sample_004,16.5057,13.406317,13.495201,13.867956,18.74048,15.439323,17.143149,14.096162,14.06867,8.052611
Sample_005,17.76147,15.465281,13.050491,8.125661,19.86267,16.228302,17.588408,15.529318,13.76274,13.905683
Sample_006,16.3348,8.004089,8.004089,13.819434,17.76667,8.004089,16.810442,12.910339,8.004089,8.004089
Sample_007,14.96918,8.034826,8.034826,14.627902,16.73458,8.034826,15.379238,8.034826,14.854398,14.488639
Sample_008,16.40289,14.061607,13.315075,13.81254,17.72778,7.997194,15.716339,14.050017,7.997194,7.997194
Sample_009,16.83153,15.300459,12.17525,8.134029,19.93577,15.739034,18.424157,15.006652,14.877952,13.658602
Sample_010,15.16437,8.0409,8.0409,13.856246,17.18868,8.0409,15.331016,8.0409,8.0409,15.122426
Sample_011,15.74567,13.733979,11.840293,13.246945,15.27422,14.778521,17.57916,14.004296,15.586881,14.603296
Sample_012,17.53765,14.084986,12.641448,8.192701,17.70161,14.871843,16.989135,13.753786,15.71146,14.516469
Sample_013,15.96031,8.086697,8.086697,14.656499,18.40438,8.086697,15.898674,14.075574,8.086697,8.086697
Sample_014,13.88201,8.004173,8.004173,13.819519,15.89327,8.004173,15.348586,8.004173,8.004173,8.004173
Sample_015,16.03968,8.032354,8.032354,13.8477,16.37698,8.032354,16.179817,8.032354,14.371692,14.03481
Sample_016,17.55069,13.761217,12.890686,14.382396,17.71632,14.98966,15.929844,14.031533,15.013122,14.96248
Sample_017,17.90643,13.752731,11.859044,8.118131,18.97493,14.797272,17.597911,14.023047,14.862054,13.898153
Sample_018,17.19566,14.499473,12.030352,12.796182,19.79434,16.131473,18.135762,14.922612,17.582127,14.772736
Sample_019,17.75281,13.740832,12.147562,8.106231,17.05306,14.785373,14.549608,14.011148,14.850154,14.634255
Sample_020,16.86621,13.80269,11.941504,14.161125,17.99904,14.967965,16.525746,14.105507,14.944513,14.136004
Sample_021,16.01469,14.893797,11.770405,8.029491,20.9427,16.4773,20.320535,15.711165,14.773414,14.783311
Sample_022,17.33085,13.730211,11.836524,8.09561,17.09159,14.774752,15.281134,14.000527,14.839533,13.875632
Sample_023,18.02191,13.796857,13.483378,8.162257,16.60507,14.841398,14.888352,14.067173,15.212463,13.942279
Sample_024,16.87645,14.276113,12.546818,8.090816,17.88122,14.626896,16.441772,13.995733,16.143894,13.870838
Sample_025,16.33211,14.173917,11.914391,8.173477,20.21969,15.014622,18.290796,15.612964,14.891404,14.539285
Sample_026,17.86771,13.871466,11.977779,8.236865,18.51302,14.916007,16.249755,14.416943,14.980789,14.016887
Sample_027,17.88323,13.966302,13.522802,8.212521,19.0481,15.521996,17.211085,14.427809,13.952209,15.054463
Sample_028,16.37018,8.0557,8.0557,13.164515,15.95394,8.0557,14.53117,8.0557,15.509364,13.165784
Sample_029,13.87115,8.114605,8.114605,14.332793,16.22474,8.114605,15.459017,8.114605,8.114605,8.114605
Sample_030,14.65329,7.980451,7.980451,14.446645,17.04133,7.980451,15.376961,7.980451,7.980451,7.980451
Sample_031,14.88253,7.954643,7.954643,13.769989,17.72179,7.954643,15.299055,7.954643,7.954643,7.954643
Sample_032,14.46544,8.138028,8.138028,15.144803,17.42806,8.138028,15.612569,8.138028,14.175932,8.138028
