gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
TAF1L,-1.00198474151515,4.12625183458647,-4.26816940802539,3.71161075825339e-05,0.0004333718796276,2.00885086357138
CAVIN3,-1.00271215939394,6.16605197744361,-3.67587022817703,0.0003423503028898,0.0016635300527832,-0.0278950849146566
XAGE2,-1.00365616878788,4.77512981954887,-4.20452420849302,4.76380768491268e-05,0.0004881814697615,1.77878396859027
FAM110D,-1.00368187121212,4.78401190225564,-4.54539518181532,1.21574200324028e-05,0.0002561941499103,3.04074964231812
SNTN,-1.00401128030303,3.85617266917293,-2.49960866573736,0.0136453990523457,0.0291938656283123,-3.30904018371709
CFTR,-1.00443609272727,5.73036783458647,-2.41554825326439,0.0170653451842163,0.0351165129964203,-3.50095336450372
RTN1,-1.00450091848485,5.081486,-3.26480251611094,0.0013918447267692,0.0046413216623749,-1.2961431775523
SNAPC2,-1.0047440039394,5.99538122556391,-4.24328453141007,4.0933013994067e-05,0.0004547912418889,1.91858613846661
FNDC8,-1.00680618363636,4.55508176691729,-4.25824270426971,3.85958374644249e-05,0.000442209288724,1.97279624985961
TTC25,-1.00691574636364,5.37953787218045,-3.36567462237403,0.0009974897148262,0.0036127237823668,-0.996513008603353
LOXL1-AS1,-1.00721670969697,5.78824682706767,-3.85905090971508,0.0001764958780629,0.001057927193092,0.576509689993308
LDAH,-1.00770417757576,5.41863155639098,-3.50189172159586,0.0006288531260233,0.0025756313467559,-0.57982631162661
CACNB3,-1.00790739242424,7.24185586466165,-4.9021953931016,2.70468204125555e-06,0.000129388912438,4.43679585753679
LINC01838,-1.01017136606061,4.94131273684211,-4.1703964506761,5.44028464577109e-05,0.0005249737996632,1.65649525892396
TMEM72,-1.01185626333333,4.76704984962406,-4.15280760160239,5.82395117058852e-05,0.0005435687759215,1.59376572354683
C20orf85,-1.01208575515151,5.18226021804511,-2.45752933748819,0.0152723265459205,0.0319864849371349,-3.40585584233211
TBC1D4,-1.01344758030303,7.51792363157895,-3.54196479013253,0.000547683604886,0.0023316399442089,-0.454641496656251
LINC00621,-1.01553193757576,10.1786520902256,-3.30055890827258,0.0012378469948386,0.0042615373689977,-1.19081156423457
HOXB2,-1.01684569575757,8.26128706015038,-3.86094811645896,0.0001752682983205,0.001054538396415,0.582891931238017
GAD1,-1.02121347909091,8.19631077443609,-2.48082692606875,0.0143514058482359,0.0304398173213055,-3.35243755950709
MICU3,-1.02156727484849,4.53541621052632,-3.28251664622631,0.0013134465704317,0.0044489696919254,-1.24408185358783
BRSK1,-1.02519180848485,5.14445006015038,-4.29895287772267,3.28657358639048e-05,0.0004075512749511,2.1210588955448
DGLUCY,-1.02567787818182,6.83747955639098,-4.73624764432225,5.4906097817692e-06,0.000172503684022,3.77829414273294
AKAP14,-1.0257747130303,4.16724287969925,-2.76824686424911,0.0064376750232072,0.015728401714693,-2.65614824554802
MYOZ1,-1.02729844212121,5.20574863157895,-4.70194686513288,6.34364395084102e-06,0.0001853891633686,3.64415696306985
SCUBE1,-1.0299090830303,4.70946942857143,-4.30859364488296,3.16336373499897e-05,0.0004006398185831,2.15632416080785
GIMAP7,-1.03123350333333,5.56629420300752,-3.13429139917791,0.0021186402118926,0.0064677315284573,-1.6723161006211
TDRG1,-1.0326092569697,4.7374372406015,-4.27976754123931,3.54561841134485e-05,0.0004255585284674,2.05105601360433
ZNF548,-1.03329161636363,7.44563835338346,-4.16560919302946,5.54224067497343e-05,0.0005277783247172,1.63940181560866
TMEM212,-1.04103047727273,4.74032995488722,-4.73741874323401,5.46353970848613e-06,0.0001720716686972,3.78288593613824
RAB36,-1.04167009515151,7.05486108270677,-4.31938573737107,3.03070483838636e-05,0.0003937185925183,2.19587079448962
KCCAT333,-1.04192429212121,5.0379595112782,-2.71589123032801,0.0074850522748084,0.0177398726606988,-2.7880660223914
MTM1,-1.04280949757576,5.12322353383459,-4.4414020813007,1.85795933976373e-05,0.0003177079169348,2.64807675924031
SPATA18,-1.0439475660606,7.43199137593985,-3.03249866183089,0.0029148967574293,0.008325684173597,-1.95656286960272
PCDHB16,-1.04561203,5.13058145864662,-4.01504640605984,9.8641358523253e-05,0.0007293733834716,1.10949554911888
RGN,-1.04975256333333,4.51115530827068,-4.48302324369154,1.56910644451842e-05,0.0002909331900456,2.80444296571963
LOC100129098,-1.05035790484848,7.09156330075188,-5.46583904109583,2.1870784205305e-07,4.04093367188392e-05,6.78488124599906
ZBTB46,-1.05144524363636,5.76336496992481,-4.12858008591564,6.39506583745835e-05,0.0005762049751877,1.50769098477983
CD109,-1.05161516575758,5.80476351879699,-3.19118957151915,0.0017667234960645,0.0055895022627411,-1.50992662775314
WT1,-1.05266944212121,5.42205957142857,-2.89899680727565,0.0043783113507819,0.0114985494405602,-2.31698626287353
IGFALS,-1.05417814,5.16269614285714,-4.34090537861108,2.78196099571512e-05,0.0003771808501107,2.27494734703642
FBXL7,-1.05550248909091,5.36714198496241,-3.94702919545834,0.0001273746455057,0.0008548547975076,0.875068700696016
ERG,-1.05663702424243,4.6965155037594,-4.46438050729425,1.69269184905373e-05,0.000300382825636,2.73427258665868
SAXO2,-1.06056561939394,4.08954781954887,-3.83859956452722,0.000190258478354,0.0011133154089888,0.507868781215825
CFB,-1.06114319181818,7.65147784210526,-2.83313492366977,0.0053252591113735,0.0134736597243274,-2.48955630378305
ALKAL2,-1.06519181393939,6.06936070676692,-2.83752203000451,0.0052567897501821,0.0133371963650466,-2.4781698869829
BCO2,-1.06950771242424,4.72710489473684,-5.17290399043205,8.25009768231151e-07,7.50853139491431e-05,5.54377451641941
ARHGEF37,-1.06958346666667,7.03504942857143,-6.46212626457588,1.7810252403875501e-09,3.99503750588266e-06,11.3008400447532
RSPH1,-1.06989927424243,7.48855312030075,-3.48051316542079,0.000676658820515,0.0027066352820602,-0.646130206856498
