feature_a,feature_b,abs_pearson_r,feature_a_outcome_corr_abs,feature_b_outcome_corr_abs,kept_feature,dropped_feature
dwi_wavelet-LLH_firstorder_TotalEnergy,dwi_wavelet-LLH_firstorder_Energy,0.9999999999999993,0.05279800397059087,0.05279800388716901,dwi_wavelet-LLH_firstorder_TotalEnergy,dwi_wavelet-LLH_firstorder_Energy
ce_wavelet-HHL_glrlm_GrayLevelVariance,ce_wavelet-HHL_firstorder_Variance,0.9993245974244584,0.01952931659202551,0.019987292042313507,ce_wavelet-HHL_firstorder_Variance,ce_wavelet-HHL_glrlm_GrayLevelVariance
dwi_log-sigma-2-0-mm-3D_glcm_ClusterProminence,dwi_log-sigma-2-0-mm-3D_ngtdm_Complexity,0.9313673646427119,0.037047869200626374,0.043775971787332585,dwi_log-sigma-2-0-mm-3D_ngtdm_Complexity,dwi_log-sigma-2-0-mm-3D_glcm_ClusterProminence
dwi_wavelet-LLL_firstorder_TotalEnergy,dwi_wavelet-LLL_firstorder_Energy,1.0000000000000004,0.0038932452465541153,0.0038932452113446653,dwi_wavelet-LLL_firstorder_TotalEnergy,dwi_wavelet-LLL_firstorder_Energy
dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_ngtdm_Complexity,0.9492660157121965,0.07530538065389253,0.04351935237704937,dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_ngtdm_Complexity
dwi_wavelet-LLL_firstorder_TotalEnergy,dwi_original_firstorder_TotalEnergy,0.9999893962838707,0.0038932452465541153,0.004184664022974431,dwi_original_firstorder_TotalEnergy,dwi_wavelet-LLL_firstorder_TotalEnergy
dwi_original_firstorder_TotalEnergy,dwi_original_firstorder_Energy,1.0000000000000007,0.004184664022974431,0.004184663987786893,dwi_original_firstorder_TotalEnergy,dwi_original_firstorder_Energy
dwi_original_firstorder_TotalEnergy,dwi_log-sigma-3-0-mm-3D_firstorder_TotalEnergy,0.8922653376937928,0.004184664022974431,0.017735551160655155,dwi_log-sigma-3-0-mm-3D_firstorder_TotalEnergy,dwi_original_firstorder_TotalEnergy
dwi_log-sigma-3-0-mm-3D_firstorder_TotalEnergy,dwi_log-sigma-3-0-mm-3D_firstorder_Energy,0.9999999999999993,0.017735551160655155,0.01773555117443051,dwi_log-sigma-3-0-mm-3D_firstorder_Energy,dwi_log-sigma-3-0-mm-3D_firstorder_TotalEnergy
ce_wavelet-HHL_firstorder_Variance,ce_wavelet-HHL_glcm_ClusterProminence,0.9058676438721094,0.019987292042313507,0.016234779972654254,ce_wavelet-HHL_firstorder_Variance,ce_wavelet-HHL_glcm_ClusterProminence
ce_wavelet-HHL_firstorder_Variance,ce_wavelet-HHL_glcm_ClusterTendency,0.9952636563377119,0.019987292042313507,0.02087153104582992,ce_wavelet-HHL_glcm_ClusterTendency,ce_wavelet-HHL_firstorder_Variance
