feature,ranking,selected_top_k
ce_log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,1,True
ce_log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,1,True
ce_original_gldm_DependenceVariance,1,True
ce_wavelet-HLL_glrlm_RunVariance,1,True
dwi_log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,1,True
dwi_log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,1,True
dwi_log-sigma-3-0-mm-3D_gldm_DependenceVariance,1,True
dwi_log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,1,True
dwi_wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,1,True
dwi_wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,1,True
dwi_wavelet-HLH_firstorder_Minimum,1,True
dwi_wavelet-HLH_glcm_ClusterShade,1,True
dwi_wavelet-HLL_firstorder_Kurtosis,1,True
dwi_wavelet-HLL_glcm_MaximumProbability,1,True
dwi_wavelet-HLL_glszm_ZonePercentage,1,True
dwi_wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,1,True
dwi_wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,1,True
dwi_wavelet-LLH_gldm_DependenceEntropy,1,True
dwi_wavelet-LLL_gldm_DependenceNonUniformityNormalized,1,True
t2_wavelet-LHL_glcm_InverseVariance,1,True
ce_wavelet-HHH_glcm_Correlation,2,False
ce_wavelet-HHH_glszm_ZoneEntropy,2,False
ce_wavelet-HLH_gldm_DependenceNonUniformityNormalized,2,False
ce_wavelet-LHH_glcm_Imc1,2,False
dwi_wavelet-HLH_glrlm_LongRunEmphasis,2,False
dwi_wavelet-LHH_gldm_DependenceEntropy,2,False
dwi_wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,2,False
dwi_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,2,False
t2_wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,2,False
t2_wavelet-HLH_glszm_ZoneEntropy,2,False
t2_wavelet-HLL_glrlm_GrayLevelVariance,2,False
t2_wavelet-LLH_glcm_MCC,2,False
t2_wavelet-LLH_glcm_MaximumProbability,2,False
t2_wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,2,False
